Ext1Desc,GenericExt1Color,DivisionName,subDivisionName,modelname
Dark Blue,Blue,Porsche,Porsche,911 Carrera
Dark Blue Metallic,Blue,Chevrolet,Chevy Pickups,Silverado 1500 Hybrid
Dark Blue Metallic,Blue,Chevrolet,Chevy Pickups,Silverado 2500HD Classic
Dark Blue Metallic,Blue,Lincoln,Lincoln,Navigator L
Dark Blue Pearl,Blue,Buick,Buick,Park Avenue
Dark Blue Pearl Metallic,Blue,Ford,Ford Chassis-Cabs,Super Duty F-350 DRW
Dark Bronzemist Metallic,Gold,Buick,Buick,Century
Dark Bronzemist Metallic,Gold,Chevrolet,Chevy Cargo Vans,Astro Cargo Van
Dark Bronzemist Metallic,Gold,Chevrolet,Chevy Specialty Vehicles,Express RV Cutaway
Dark Brown,Brown,Dodge,Dodge Cab-Chassis,Ram 5500
Dark Carmine Red,Maroon,Chevrolet,Chevy Specialty Vehicles,G RV Cutaway
Dark Carmine Red Metallic,Maroon,GMC,GMC Pickups,Sierra 2500
Dark Cherry (Met),Red,GMC,GMC Utility Vehicles,Suburban
Dark Cherry Metallic,Maroon,Chevrolet,Chevy Utility Vehicles,Traverse
Dark Cherry Metallic,Maroon,Kia,Kia Cars,Forte
Dark Cherry Metallic,Purple,Kia,Kia,Sorento
Dark Cherry Metallic,Red,Chevrolet,Chevy Cars,Malibu
Dark Cherry Pearl,Maroon,Honda,Honda,Accord Sdn
Dark Chocolate Metallic,Brown,Buick,Buick,Enclave
Dark Copper (Met),Copper,Chevrolet,Chevy Chassis-Cabs,C/K 2500
Dark Copper (Met),Copper,Chevrolet,Chevy Passenger Vans,Astro Passenger
Dark Copper (Met),Copper,Chevrolet,Chevy Utility Vehicles,Blazer
Dark Copper Metallic,Copper,Chevrolet,Chevy Specialty Vehicles,Express RV Cutaway
Dark Crimson Metallic,Maroon,GMC,GMC Utility Vehicles,Acadia
Dark Crimson Metallic,Maroon,GMC,GMC Utility Vehicles,Envoy
Dark Crimson Metallic,Red,Buick,Buick,Enclave
Dark Emerald Green,Green,Hyundai,Hyundai,Santa Fe
Dark Garnet Metallic,Red,Buick,Buick,Allure
Waitomo Grey,Gray,Land Rover,Land Rover,Range Rover
Walnut Brown Metallic,Brown,Ram,Ram Cab-Chassis,4500 Chassis
Waltomo Grey Special Metallic,Gray,Land Rover,Land Rover,Discovery Sport
Waveline Pearl,Blue,Toyota,Toyota Trucks,Highlander
Wedgewood Blue Metallic,Blue,Mercedes-Benz,Mercedes-Benz,G-Class
Western Brown,Brown,Ram,Ram Cab-Chassis,4500
Wheat Beige,Gold,Volkswagen,Volkswagen,Touareg
Wheatland Yellow,Yellow,Chevrolet,Chevy C-Series,CC4500
Wheatland Yellow,Yellow,GMC,GMC T-Series,TF6B042
Wheatland Yellow,Yellow,GMC,GMC W-Series,W4500 HD DSL CREW LSD
Wheatland Yellow,Yellow,Isuzu,Isuzu N-Series,NPR HD DSL REG MT
Wheatland Yellow,Yellow,Isuzu,Isuzu N-Series,NPR XD DSL REG AT LSD
White,White,Chevrolet,Chevy C-Series,CC7H064
White,White,Chevrolet,Chevy W-Series,W4S042i 14500 GVWR GAS RE
White,White,GMC,GMC W-Series,"TW45042  14,500 GVWR"
White,White,McLaren,McLaren,570S
White,White,Pontiac,Pontiac,Firebird
White,White,Volkswagen,Volkswagen,New Beetle
White Birch,White,Subaru,Subaru,Legacy Sedan (NY/NJ)
White Chocolate Tri-Coat,White,Mercury,Mercury,Sable
White Clear Coat,White,Dodge,Dodge Cars,Avenger
White Clearcoat,White,Jeep,Jeep Utility Vehicles,Compass
White Diamond Pearl,White,Honda,Honda,Crosstour
White Diamond Tricoat,White,Cadillac,Cadillac Cars,CTS Coupe
White Diamond Tricoat,White,Cadillac,Cadillac Trucks,Escalade EXT
White Frost Tricoat,White,Buick,Buick,Enclave
White Gold Metallic,White,Volkswagen,Volkswagen,Passat Wagon
White Hot,White,Pontiac,Pontiac,G8
White Knuckle Clearcoat,White,Dodge,Dodge Cars,Challenger
White Platinum,White,Ford,Ford Cars,Flex
White Platinum Metallic Tri-Coat,White,Ford,Ford Cars,Fiesta
White Platinum Tri-Coat Metallic,White,Ford,Ford Cars,Edge
White Sand Metallic,White,Bentley,Bentley,Continental GT Speed
White Sand Tri-Coat Metallic,Gold,Ford,Ford Utility Vehicles,Expedition EL
White Satin Metallic,White,Bentley,Bentley,Mulsanne
White Silver Metallic,Silver,MINI,MINI,Cooper Convertible
Wild Cherry Metallic,Maroon,Volkswagen,Volkswagen,Tiguan
Wildberry,Red,Rolls-Royce,Rolls-Royce,Phantom
Willow Gray,Gray,Hyundai,Hyundai,Santa Fe
Willow Green Opal,Green,Subaru,Subaru,Legacy Wagon
Windsor Blue Metallic,Blue,Bentley,Bentley,Continental GT Speed
Wine Red Mica,Red,Hyundai,Hyundai,Accent
Winter White,White,Ford,Ford Medium-Duty Chassis,Super Duty F-750 Straight Frame
Winter White Solid,White,Hyundai,Hyundai,Tucson
Wintergreen,Green,Chevrolet,Chevy Cars,Aveo
Woodcote Green Mica Metallic,Green,Land Rover,Land Rover,Discovery SD
Woodland Green,Green,Chevrolet,Chevy C-Series,CC4500
Woodland Green,Green,GMC,GMC TopKick C-Series,TC7500
Woodland Green,Green,Isuzu,Isuzu N-Series,NQR DSL REG MT LSD
Woodland Green,Green,Isuzu,Isuzu N-Series,NRR DSL REG AT LSD
Woodland Green Metallic,Green,Ford,Ford Specialty Vehicles,Econoline Cutaway
Woodland Green Prl/Gray Met,Green,Subaru,Subaru,Impreza Wagon (Natl)
Woodland Pearl,Green,Lexus,Lexus,RX 300
Woodland Pearl,Green,Toyota,Toyota Cars,Avalon
World Rally Blue Pearl,Blue,Subaru,Subaru,WRX
Yellow,Yellow,HUMMER,HUMMER,H2
Yellow,Yellow,Ram,Ram Cab-Chassis,3500
Yellow,Yellow,Ram,Ram Cab-Chassis,5500 Chassis
Yellow Rush,Yellow,Volkswagen,Volkswagen,Beetle Convertible
Zanzibar Gold,Gold,Volvo,Volvo,C70
Emerald Green (Met),Green,Chevrolet,Chevy Cargo Vans,Chevy Cargo Van
Emerald Green (Met),Green,Chevrolet,Chevy Specialty Vehicles,G Commercial Cutaway
Emerald Green (Met),Green,GMC,GMC Pickups,Sierra Classic 1500
Emerald Green Metallic,Green,GMC,GMC Chassis-Cabs,Classic Sierra 3500 HD
Emerald Green Pearl,Green,Buick,Buick,Park Avenue
Emerald Jewel Metallic,Green,Buick,Buick,Terraza
Eminent White,White,Lexus,Lexus,LS 460
Eminent White Pearl,White,Lexus,Lexus,LS
Eminent White Pearl,White,Lexus,Lexus,NX 200t
Envy Green,Green,Pontiac,Pontiac,Vibe
Espresso Bean Pearl,Brown,Nissan,Nissan Cars,cube
Estate Green Metallic,Green,Ford,Ford Utility Vehicles,Explorer
Estoril Blue Crystal Effect,Blue,Audi,Audi,RS 7
Everest Green Metallic,Green,Mercedes-Benz,Mercedes-Benz,C-Class
Evolution Green Metallic,Green,Cadillac,Cadillac Cars,CTS Wagon
Extreme Silver,Silver,Bentley,Bentley,Continental GT
Fantasy Black Metallic,Black,Suzuki,Suzuki,Forenza
Fire Opal,Red,Mercedes-Benz,Mercedes-Benz,SLC
Fire Red,Red,Chevrolet,Chevy Pickups,S-10
Fire Red,Red,GMC,GMC Specialty Vehicles,Savana RV Cutaway
Firenze Red Metallic,Red,Land Rover,Land Rover,Discovery
Firenze Red Premium Metallic,Red,Land Rover,Land Rover,Range Rover Evoque
Firepepper Red Pearl,Red,Acura,Acura,RSX
Firestorm,Red,Scion,Scion Cars,FR-S
Flame Red,Red,Freightliner,Freightliner,Sprinter Chassis-Cabs
Flame Red,Red,Ram,Ram Cab-Chassis,5500 Chassis
Flame Red,Red,Ram,Ram Pickups,3500
Flame Red (CC),Red,Dodge,Dodge Cars,Stratus
Flame Red (CC),Red,Dodge,Dodge Passenger Vans,Caravan
Flame Red Clear Coat,Red,Dodge,Dodge Cars,Neon
Flame Red Clearcoat,Red,Ram,Ram Cab-Chassis,5500
Flamenco Black Pearl,Black,Acura,Acura,TL
Flamenco Black Pearl,Black,Honda,Honda,Accord Sdn
Flint Grey Metallic,Silver,Mercedes-Benz,Mercedes-Benz,CL-Class
Flint Mica,Green,Toyota,Toyota Cars,Yaris
Forest Green,Green,Ford,Ford Pickups,Super Duty F-450 DRW
Forged Copper,Orange,Nissan,Nissan Trucks/Vans,Titan XD
Fortana Red Metallic,Red,Volkswagen,Volkswagen,CC
Frost White,White,Honda,Honda,Accord Sdn
Frost White,White,Hyundai,Hyundai,Santa Fe Sport
Frozen Black,Black,BMW,BMW,7 Series
Fuji White,White,Land Rover,Land Rover,LR4
Fuji White Pearl,White,Maserati,Maserati,Quattroporte
Galaticbeam,Purple,Mercedes-Benz,Mercedes-Benz,G-Class
Galaxy,Black,Nissan,Nissan Trucks/Vans,Titan
Galaxy Blue (Met),Blue,Toyota,Toyota Cars,Celica
Galaxy Gray Metallic,Gray,Honda,Honda,Element
Galway Green Metallic,Green,Land Rover,Land Rover,Range Rover Sport
Garnet Red,Red,Audi,Audi,A3
Garnet Red Metallic,Maroon,GMC,GMC Utility Vehicles,Yukon XL Denali
Garnet Red Pearl,Red,Audi,Audi,Q7
Ghost,White,Kia,Kia Cars,Soul
Ghost White Pearlescent,White,Bentley,Bentley,Continental GT Speed
Giallo (Yellow),Yellow,FIAT,FIAT,500
Giallo Granturismo,Yellow,Maserati,Maserati,Spyder
Giallo Inti Pearl Effect,Yellow,Lamborghini,Lamborghini,Huracan
Giallo Moderna Perla (Pearl Yellow TC),Yellow,FIAT,FIAT,500c
Ginger Ale Metallic,Gold,Lincoln,Lincoln,MKT
Giverny Green,Green,Land Rover,Land Rover,Range Rover
Glacial Blue Metallic,Blue,Volkswagen,Volkswagen,Routan
Glacier,White,Bentley,Bentley,Brooklands
Glacier Blue Metallic,Blue,Hyundai,Hyundai,Accent
Glacier Frost Mica,White,Lexus,Lexus,GS 350
Glacier Pearl,White,Nissan,Nissan Cars,LEAF
Glacier White,White,Mercedes-Benz,Mercedes-Benz,SLK-Class
Glacier White,White,Spyker,Spyker,C8 Aileron
Glacier White Metallic,White,Audi,Audi,A6
Gloss Black,Black,Chrysler,Chrysler Cars,200
Go Mango,Orange,Dodge,Dodge Cars,Charger
Gold,Gold,Cadillac,Cadillac,d'Elegance
Gold (Met),Gold,GMC,GMC Pickups,Sierra 3500 Crew Cab
Gold Leaf Metallic,Gold,Lincoln,Lincoln,MKX
Gold Metallic,Gold,Pontiac,Pontiac,Sunfire
Gold Mist,Gold,Saturn,Saturn,Aura
Gold Mist Metallic,Gold,Buick,Buick,Lucerne
Gold Mist Metallic,Gold,Chevrolet,Chevy Utility Vehicles,Traverse
Golden Almond Metallic,Gold,Lexus,Lexus,LX 570
Golden Beige,Gold,Hyundai,Hyundai,Sonata
Golden Bronze Metallic,Gold,Ford,Ford Utility Vehicles,Expedition EL
Golden Cashmere,Tan,Saturn,Saturn,Relay
Golden Sand,Tan,INFINITI,Infiniti,QX4
Golden Sand (Met),Tan,Saab,Saab,900
Gotland Green Metallic,Green,Audi,Audi,A4 Sedan
Gotland Green Metallic,Green,Audi,Audi,A5 Sportback
Gotland Green Metallic/Black Roof,Green,Audi,Audi,S5 Cabriolet
Grabber Green Metallic,Green,Mercury,Mercury,Cougar
Grace Green Metallic,Green,Mazda,Mazda Cars,Protege
Gran Premio Gray,Gray,Hyundai,Hyundai,Genesis Coupe
Granite Crystal Metallic,Gray,Ram,Ram Pickups,1500
Granite Gray Metallic,Gray,Buick,Buick,Regal
Granite Gray Metallic,Silver,Chevrolet,Chevy Utility Vehicles,Equinox
Granite Metallic,Gray,Bentley,Bentley,Bentayga
Graphite,Gray,Toyota,Toyota Cars,Yaris iA
Graphite Blue,Blue,Nissan,Nissan Trucks/Vans,Rogue Select
Graphite Blue Metallic,Blue,Lincoln,Lincoln,Town Car
Graphite Blue Metallic,Blue,Mercury,Mercury,Villager
Graphite Gray,Gray,Lotus,Lotus,Elise
Graphite Gray Met,Gray,Saab,Saab,9-7X
Graphite Grey Metallic,Gray,Mercedes-Benz,Mercedes-Benz,Sprinter Chassis-Cabs
Graphite Metallic,Gray,Cadillac,Cadillac Cars,ELR
Graphite Metallic,Gray,Dodge,Dodge Cab-Chassis,Ram BR2500
Graphite Metallic,Gray,Kia,Kia,Cadenza
Graphite Metallic,Gray,Kia,Kia,Niro
Blue Lagoon,Blue,Volkswagen,Volkswagen,New Beetle Coupe
Blue Lagoon Metallic,Blue,Volkswagen,Volkswagen,New Beetle
Blue Metallic,Blue,Maserati,Maserati,Coupe
Blue Onyx Mica,Blue,Hyundai,Hyundai,Accent
Blue Onyx Pearl,Blue,Lexus,Lexus,ES 300
Blue Prism,Blue,Jaguar,Jaguar,XJ
Blue Raspberry Metallic,Blue,Honda,Honda,Fit
Blue Slate,Blue,INFINITI,INFINITI,G37 Coupe
Blue Slate (Met),Blue,Toyota,Toyota Cars,Celica
Blue Streak Pearl,Blue,Dodge,Dodge Cars,Avenger
Blue Streak Pearl,Blue,Ram,Ram Cab-Chassis,5500
Blue Streak Pearlcoat,Blue,Dodge,Dodge Cars,Dart
Blue Turquoise,Blue,Porsche,Porsche,911 Carrera 4
Blue Vortex Metallic,Blue,Lexus,Lexus,NX
Blue-Green Crystal,Teal,GMC,GMC Utility Vehicles,Yukon
Bodega Beige (Met),Tan,Mitsubishi,Mitsubishi Cars,Galant
Bold Beige Metallic,Tan,Honda,Honda,Accord Sedan
Bold Yellow,Yellow,Ford,Ford Medium-Duty Chassis,Super Duty F-650 Pro Loader Gas
Bonatti Grey,Gray,Land Rover,Land Rover,Freelander
Bordeaux Pontevecchio (Red),Red,Maserati,Maserati,GranTurismo
Bordeaux Red Pearl,Maroon,Honda,Honda,Accord Wgn
Bournville Metallic,Brown,Land Rover,Land Rover,LR4
Bournville Metallic,Brown,Land Rover,Land Rover,Range Rover
Boysenberry Blue (CC/Met),Blue,Mercury,Mercury,Tracer
Brandywine Mica,Red,Lexus,Lexus,RX 350
Bridgewater Bronze,Red,Aston Martin,Aston Martin,Rapide S
Bright Blue,Blue,GMC,GMC T-Series,TT8500
Bright Blue (Met),Blue,GMC,GMC Pickups,Sierra 1500
Bright Blue (Met),Blue,Volkswagen,Volkswagen,New Beetle
Bright Blue Metallic,Blue,Chevrolet,Chevy Cars,Camaro Police Pkg
Bright Blue-Aqua (Met),Teal,Pontiac,Pontiac,Sunfire
Bright Green,Green,Ram,Ram Cab-Chassis,3500 Chassis
Bright Jade Satin Glow,Green,Dodge,Dodge Pickups,Dakota
Bright Platinum (PC),Silver,Jeep,Jeep Utility Vehicles,Grand Cherokee
Bright Red,Red,GMC,GMC T-Series,F6B042
Bright Red,Red,GMC,GMC T-Series,TF7B064
Bright Red,Red,Ram,Ram Pickups,1500
Bright Silver,Silver,Kia,Kia Cars,Forte 5-Door
Bright Silver,Silver,Saturn,Saturn,LW
Bright Silver,Silver,Saturn,Saturn,LW 4dr Wagon
Bright Silver Metallic Clearcoat,Silver,Ram,Ram Cargo Vans,ProMaster Cargo Van
Bright Toreador Red (CC/Met),Red,Lincoln,Lincoln,Mark VIII
Bright White,White,Buick,Buick,Park Avenue
Bright White,White,Oldsmobile,Oldsmobile,Cutlass
Bright White,White,Ram,Ram Cab-Chassis,4500 Chassis
Bright White,White,Ram,Ram Cab-Chassis,ProMaster Chassis Cab
Bright White Clearcoat,White,Dodge,Dodge Utility Vehicles,Durango
Bright White Clearcoat,White,Jeep,Jeep Utility Vehicles,Cherokee
Brillant Silver Metallic,Silver,Nissan,Nissan Trucks/Vans,Frontier
Brilliant Black Crystal,Black,Dodge,Dodge Cab-Chassis,Ram 3500
Brilliant Black Crystal Pearl,Black,Ram,Ram Pickups,Dakota
Brilliant Black Crystal Prl,Black,Dodge,Dodge Passenger Vans,Caravan
Brilliant Black Crystal Prl,Black,Dodge,Dodge Pickups,Ram 1500
Brilliant Black Pearl,Black,Dodge,Dodge Cars,Caliber
Brilliant Black Pearl,Black,Dodge,Dodge Pickups,Ram 1500
Brilliant Blk Crystal Pearl,Black,Jeep,Jeep Utility Vehicles,Commander
Brilliant Blue Metallic,Blue,Freightliner,Freightliner,Sprinter Passenger Vans
Brilliant Blue Metallic,Blue,Mercedes-Benz,Mercedes-Benz,GLS
Brilliant Red/Black Roof,Red,Audi,Audi,A3
Brilliant Red/Black Roof,Red,Audi,Audi,A5
Brilliant Silver,Silver,Ford,Ford Cars,Fusion
Brilliant Silver,Silver,Nissan,Nissan Cars,370Z
Brilliant Silver,Silver,Nissan,Nissan Trucks/Vans,Rogue
Brilliant Silver (Met),Silver,Mercedes-Benz,Mercedes-Benz,M-Class
Brilliant Silver Metallic,Silver,Mercedes-Benz,Mercedes-Benz,Sprinter Cargo Vans
Brilliant Silver Metallic,Silver,Mercury,Mercury,Milan
Brilliant Silver Metallic,Silver,Subaru,Subaru,Outback
British Racing Green,Green,Jaguar,Jaguar,XK
British Racing Green,Green,Jaguar,Jaguar,XK Series
British Racing Green,Green,Lotus,Lotus,Exige
British Racing Green 2 Metallic,Green,Bentley,Bentley,Mulsanne
British Racing Green II,Green,MINI,MINI,Cooper Hardtop
Brodgar Metallic,Brown,Bentley,Bentley,Mulsanne
Bronze Alloy Metallic,Brown,GMC,GMC Utility Vehicles,Yukon XL
Bronze Fire,Brown,Ford,Ford Pickups,Super Duty F-350 DRW
Bronze Green,Green,Hyundai,Hyundai,Sonata
Bronze Metallic,Copper,Bentley,Bentley,Continental GT
Bronze Metallic,Copper,Bentley,Bentley,Mulsanne
Bronze Star Pearl,Copper,Jeep,Jeep Utility Vehicles,Compass
Bronzemist,Gold,Cadillac,Cadillac,DeVille
Broom Yellow,Yellow,Freightliner,Freightliner,Sprinter Passenger Vans
Brown Stone,Brown,Toyota,Toyota Cars,Camry
Brownstone Metallic,Brown,Chevrolet,Chevy Chassis-Cabs,Silverado 3500HD
Brownstone Metallic,Brown,Chevrolet,Chevy Pickups,Silverado 2500HD Built After Aug 14
Brownstone Metallic,Brown,Chevrolet,Chevy Utility Vehicles,Tahoe
Buckingham Blue,Blue,Land Rover,Land Rover,Range Rover Sport
Buckingham Blue Metallic,Blue,Land Rover,Land Rover,LR4
Burgundy Metallic,Maroon,Bentley,Bentley,Continental GT V8
Burgundy Velvet Metallic Tinted Clearcoat,Red,Ford,Ford Cars,Fusion Energi
Burning Hot Metallic,Orange,Chevrolet,Chevy Pickups,Colorado
Burnt Orange Metallic,Orange,Bentley,Bentley,Continental
Burnt Orange Metallic,Orange,Bentley,Bentley,Continental Supersports
Cabo Bronze,Brown,Hyundai,Hyundai,Santa Fe Sport
Cadet Blue (Met),Blue,GMC,GMC Specialty Vehicles,G Savana Camper Special
Cajun Red Tintcoat,Red,Chevrolet,Chevy Chassis-Cabs,Silverado 3500HD
Calcite White,White,Mercedes-Benz,Mercedes-Benz,M-Class
California Sage,Green,Aston Martin,Aston Martin,DB9
Cosmo Blue,Blue,Jeep,Jeep Utility Vehicles,Wrangler Unlimited
Cosmos Blue Metallic,Blue,Volvo,Volvo,S60
Cote D'Azur Light Blue,Blue,Maybach,Maybach,62
Cotillion White,White,Cadillac,Cadillac,Concours
Creme Brulee,White,Lincoln,Lincoln,MKX
Crimson,Red,Oldsmobile,Oldsmobile,Intrigue
Crimson Pearl,Red,Cadillac,Cadillac Cars,DTS Professional
Crimson Red Pearl,Red,Honda,Honda,Civic Sedan
Crimson Red Pearl,Red,Kia,Kia Cars,Forte
Crystal Black Pearl,Black,Honda,Honda,Civic Cpe
Crystal Black Pearl,Black,Honda,Honda,Insight
Crystal Blue Metallic,Blue,Isuzu,Isuzu Utility Vehicles,Rodeo
Crystal Blue Metallic,Silver,Audi,Audi,A4
Crystal Grey Metallic,Gray,Subaru,Subaru,Forester
Crystal Red Tintcoat,Red,Buick,Buick,Lucerne
Crystal Red Tintcoat,Red,Cadillac,Cadillac Cars,CTS
Crystal Red Tintcoat,Red,Chevrolet,Chevy Utility Vehicles,Tahoe Hybrid
Crystal White,White,smart,smart,fortwo electric drive
Crystal White,White,Toyota,Toyota Cars,Camry
Crystal White (CC),White,Ford,Ford Cars,Mustang
Crystal White Frost,White,Cadillac,Cadillac Cars,CTS-V Sedan
Crystal White Pearl,White,Lexus,Lexus,IS 300
Crystal White Pearl,White,Lexus,Lexus,RX 400h
Crystal White Pearl,White,Mazda,Mazda Cars,MX-5
Crystal White Pearl,White,Mazda,Mazda Trucks/Wgn,Mazda5
Crystal White Tricoat,White,Cadillac,Cadillac Trucks,Escalade ESV
Cumbrian Green Metallic,Green,Bentley,Bentley,Bentayga
Currant Red,Red,Kia,Kia Cars,Forte
Cuvee Silver Metallic,Silver,Audi,Audi,Q5
Cyber Grey Metallic,Gray,Buick,Buick,Enclave
Cypress,Tan,Bentley,Bentley,Continental Flying Spur
Cypress Green Metallic,Green,Volvo,Volvo,S80
Cypress Metallic,Green,Bentley,Bentley,Continental Supersports
Dakar Beige Metallic,Tan,Audi,Audi,A3
Dakota Gray Metallic/Brown Roof,Gray,Audi,Audi,A5
Dark Amethyst,Purple,Ford,Ford Pickups,F-150
Dark Beige Metallic,Silver,Chevrolet,Chevy Cars,Prizm
Dark Blue,Blue,Chevrolet,Chevy W-Series,W5500 DSL CREW
Dark Blue,Blue,Ford,Ford Cars,Sedan Police Interceptor
Dark Blue,Blue,Isuzu,Isuzu N-Series,NQR DSL CREW
Dark Blue,Blue,Volvo,Volvo,V40
Dark Blue Ink,Blue,Lincoln,Lincoln,MKX
Dark Blue Ink Metallic,Blue,Lincoln,Lincoln,MKZ
Dark Blue Metallic,Blue,Buick,Buick,Regal
Dark Blue Metallic,Blue,Chevrolet,Chevy Passenger Vans,Express Passenger
Dark Blue Metallic,Blue,GMC,GMC Chassis-Cabs,Sierra 3500HD
Dark Bronze,Copper,Kia,Kia Cars,Spectra
Dark Bronzemist Metallic,Gold,Chevrolet,Chevy Cargo Vans,Express Cargo Van
Dark Carmine Red,Maroon,Chevrolet,Chevy Utility Vehicles,Suburban
Dark Carmine Red (Met),Maroon,Chevrolet,Chevy Specialty Vehicles,G Commercial Cutaway
Dark Carmine Red Metallic,Maroon,Chevrolet,Chevy Pickups,C/K 3500
Dark Carmine Red Metallic,Maroon,Chevrolet,Chevy Utility Vehicles,Suburban
Dark Charcoal Pearl,Gray,Dodge,Dodge Cargo Vans,Grand Caravan C/V
Dark Charcoal Pearl,Gray,Jeep,Jeep Utility Vehicles,Patriot
Dark Cherry,Maroon,Kia,Kia Utility Vehicles,Sorento
Dark Cherry Metallic,Red,Chevrolet,Chevy Pickups,Silverado 1500
Dark Cherry Pearl,Red,Honda,Honda,Odyssey
Dark Cherry Red (Met),Maroon,GMC,GMC Pickups,Sonoma
Dark Chocolate Metallic,Brown,Buick,Buick,LaCrosse
Dark Copper,Brown,Ford,Ford Pickups,Super Duty F-250 SRW
Dark Copper Metallic,Copper,Chevrolet,Chevy Cargo Vans,Express Cargo Van
Dark Copper Metallic,Copper,Ford,Ford Pickups,Super Duty F-350 SRW
Dark Cordovan Pearl,Red,Chrysler,Chrysler Passenger Vans,Town & Country
Dark Crimson Metallic,Maroon,GMC,GMC Pickups,Sierra 2500HD
Dark Crimson Metallic,Red,GMC,GMC Utility Vehicles,Envoy
Dark Forest Green Metallic,Green,Pontiac,Pontiac,Grand Prix
Dark Graphite Metallic,Gray,BMW,BMW,6 Series
Dark Gray Metallic,Gray,Subaru,Subaru,Impreza Wagon
Dark Gray Satin,Gray,Bentley,Bentley,Continental GT Speed
Dark Green,Green,Chevrolet,Chevy Kodiak C-Series,CC7500
Dark Green,Green,Saturn,Saturn,SC 2dr
Dark Green,Green,Saturn,Saturn,SL
Dark Green Metallic,Green,GMC,GMC TopKick C-Series,TC8500
Dark Green Satin,Green,Ford,Ford Chassis-Cabs,Super Duty F-550 DRW
Dark Grey Metallic,Gray,Subaru,Subaru,XV Crosstrek
Dark Hunter Green Metallic,Green,Ford,Ford Chassis-Cabs,Super Duty F-450
Dark Indigo,Blue,Rolls-Royce,Rolls-Royce,Phantom
Dark Khaki Pearl,Tan,Jeep,Jeep Utility Vehicles,Grand Cherokee
Dark Olive Metallic,Green,BMW,BMW,X6
Dark Otter Metallic,Brown,Cadillac,Cadillac,DeVille
Dark Plum Pearl,Purple,Chrysler,Chrysler Cars,PT Cruiser
Dark Red,Maroon,Saturn,Saturn,LS
Dark Red Metallic,Red,GMC,GMC Pickups,New Sierra 1500
Dark Sapphire,Blue,Bentley,Bentley,Continental Supersports
Dark Shadow Gray Metallic,Gray,Ford,Ford Chassis-Cabs,Super Duty F-550
Dark Shadow Grey Metallic,Gray,Ford,Ford Cars,Mustang
Dark Shadow Grey Metallic,Gray,Ford,Ford Passenger Vans,Econoline Wagon
Dark Side,Gray,Ford,Ford Utility Vehicles,Explorer
Dark Side Metallic,Gray,Ford,Ford Cars,Taurus
Dark Silver,Gray,MINI,MINI,Cooper Convertible
Dark Slate Metallic,Gray,Buick,Buick,Enclave
Dark Slate Metallic,Gray,Nissan,Nissan Cars,Altima
Dark Slate Metallic,Gray,Nissan,Nissan Trucks/Vans,Pathfinder
Dark Stone Metallic,Gray,Ford,Ford Pickups,Super Duty F-350 DRW
Dark Tarnished Silver Metallic,Gray,Pontiac,Pontiac,G3 Wave
Dark Teal,Teal,Mazda,Mazda Trucks/Wgn,B-Series 4WD Truck
Dark Teal (Met),Teal,Oldsmobile,Oldsmobile,Silhouette
Dark Teal Metallic,Green,Porsche,Porsche,911 Carrera
Dark Teal Metallic,Teal,Pontiac,Pontiac,Grand Am
Dark Graphite Metallic,Gray,BMW,BMW,X6
Dark Green,Green,Chevrolet,Chevy T-Series,CT6500
Dark Green,Green,GMC,GMC T-Series,TT8500
Dark Green Metallic,Green,Chevrolet,Chevy Utility Vehicles,Suburban
Dark Green Metallic,Green,Lamborghini,Lamborghini,Murcielago
Dark Green Metallic,Green,Nissan,Nissan Cars,Sentra
Dark Highland Green Metallic,Green,Ford,Ford Chassis-Cabs,Super Duty F-350 DRW
Dark Ink Blue,Blue,Mercury,Mercury,Sable
Dark Mahogany Metallic,Brown,Nissan,Nissan Trucks/Vans,Quest
Dark Red,Maroon,Saturn,Saturn,LW
Dark Red (Met),Red,Dodge,Dodge Passenger Vans,Ram Wagon
Dark Red Metallic,Red,GMC,GMC Utility Vehicles,Yukon XL
Dark Rosewood (PC),Red,Chrysler,Chrysler,Town & Country
Dark Rosewood (PC),Red,Dodge,Dodge Cars,Stratus
Dark Rosewood (PC),Red,Plymouth,Plymouth Cars,Breeze
Dark Sapphire Blue Metallic,Blue,Buick,Buick,Enclave
Dark Toreador Red (CC/Met),Maroon,Ford,Ford Pickups,F-150
Dark Toreador Red (Met),Maroon,GMC,GMC Chassis-Cabs,New Sierra 2500
Dark Toreador Red (Met),Maroon,GMC,GMC Chassis-Cabs,Sierra 3500 Crew Cab
Dark Toreador Red Metallic,Maroon,Ford,Ford Specialty Vehicles,Econoline Cutaway
Dark Toreador Red Metallic,Maroon,GMC,GMC Pickups,Sierra 2500HD
Dark Toreador Red Metallic,Red,GMC,GMC Utility Vehicles,Denali
Dark Tropic Teal,Teal,Chevrolet,Chevy Cars,Malibu
Dark Turquoise,Blue,Chevrolet,Chevy Cars,Optra 5
Dark Turquoise Metallic,Teal,Mercedes-Benz,Mercedes-Benz,G-Class
Daytona Blue Metallic,Blue,Chevrolet,Chevy Utility Vehicles,HHR
Daytona Blue Pearl Met,Blue,Nissan,Nissan Cars,350Z
Daytona Gray Pearl,Gray,Audi,Audi,Q5
Daytona Gray Pearl Effect,Gray,Audi,Audi,A4
Daytona Gray Pearl Effect/Black Roof,Gray,Audi,Audi,RS 5
